SOURCE_ID,PROJECT_ID_SRC,COMPANY_ID_SRC,PROJECT_STAGE,PROJECT_STAGE_STANDARD,OFFICE_ID,PROJECT_TYPE,PROJECT_TYPE_OMNICLASS_1,PROJECT_TYPE_OMNICLASS_2,PROJECT_TYPE_OMNICLASS_3,PROJECT_NAME,DESCRIPTION,CONTRACT_TYPE,PROJECT_BID_TYPE,PROJECT_OWNER_TYPE,DESIGNATED_MARKET_AREA,ESTIMATED_VALUE,CURRENCY,ESTIMATED_VALUE_USD,SQUARE_FEET,STREET_NAME,CITY_NAME,STATE_NAME,POSTAL_CODE,COUNTRY_NAME,LONGITUDE,LATITUDE,LOCALE,WEBSITE,SOURCE_SYSTEM,IS_BUDGET_LOCKED,IS_ACTIVE,ESTIMATED_START_DATE,ESTIMATED_COMPLETION_DATE,WARRANTY_START_DATE,WARRANTY_END_DATE,DEDUP_CLUSTER_ID
id_5ddce7c81a,1798843,4301,Course of Construction,Completed,5254,,,,,project__96a4ddb2e1,,,,,,101817.75000,USD,101817.75000,2421.00000000,street_n_562d9b9baa,city_nam_c8d1f707dc,state_na_39cc9947a6,postal_c_20ce41e8f6,country__621896e732,-115,36,,http://www.triadrc.com/,platform_app,false,false,2021-10-04 00:00:00.000,2021-11-12 00:00:00.000,,,id_11d6e1d495
id_615e6cfb2a,154089,4301,Course of Construction,Closed - No Construction,6900,,,,,project__c6671e1cbc,,,,,,,USD,,,,city_nam_235a615da0,state_na_9fa969e87f,,country__621896e732,,,en,http://www.triadrc.com/,platform_app,false,false,2016-02-22 00:00:00.000,2016-04-21 00:00:00.000,,,id_615e6cfb2a
id_4d58a67891,1318427,4301,Course of Construction,Closed - No Construction,5254,,Retail Facility,Vehicle Related Retail/Commercial,,project__a232e86e93,descript_d9f8d875ac,,,,,1356300.00000,USD,1356300.00000,5710.00000000,street_n_4bf17dd4ee,city_nam_642407fd21,state_na_f7dcea36ba,postal_c_f4864b3701,country__621896e732,,,,http://www.triadrc.com/,platform_app,false,false,2020-07-27 00:00:00.000,2020-12-28 00:00:00.000,,,id_2a69e7125e
id_94143bd109,125340,4301,Bidding,Completed,6900,UNKNOWN,,,,project__c8c4b67043,descript_201e293bbe,,,,,,,,7737.00000000,,city_nam_e8f9a38694,state_na_a006a3a211,postal_c_c7aed2a9e6,country__621896e732,-122.117826118,37.606362154,en,,unified_data,false,false,2015-08-25 00:00:00.000,2015-10-25 00:00:00.000,,,id_f86e46b392
id_b43447f911,695512,4301,Course of Construction,Completed,5254,UNKNOWN,,,,project__22754fb348,,,,,,,,0.00000,,street_n_30e38b10cf,city_nam_76d900cd46,state_na_6d41827587,postal_c_e147df7e6a,country__621896e732,,,,,unified_data,false,false,2018-12-21 00:00:00.000,2020-04-20 00:00:00.000,,,id_6ab5c9ed11
id_441377ef9e,1258889,4301,Course of Construction,Completed,5254,,,,,project__4c8cf570b7,,,,,,1225000.00000,USD,1225000.00000,,street_n_16d920c647,city_nam_3ea1f1cf7e,state_na_2134e6cb9c,postal_c_07bde201d1,country__621896e732,-105,40,,http://www.triadrc.com/,platform_app,false,false,2020-05-18 00:00:00.000,2020-09-20 00:00:00.000,,,id_441377ef9e
id_8a3cabfd61,388183,4301,Warranty,Closed - No Construction,5254,,,,,project__b433827a73,,,,,,0.00000,USD,0.00000,,street_n_65e668b5ea,city_nam_76d900cd46,state_na_6d41827587,postal_c_49888b0bbc,country__621896e732,-96,30,,http://www.triadrc.com/,platform_app,false,false,2017-09-18 00:00:00.000,2017-10-17 00:00:00.000,,,id_8a3cabfd61
id_218d8e98bc,988500,4301,Course of Construction,Closed - No Construction,5254,UNKNOWN,,,,project__06d8b185e4,,,,,,,,70231.70000,,street_n_9c97bef368,city_nam_8bbe034ee2,state_na_69084ef9e5,postal_c_80dcc14fae,country__621896e732,-95.3401952,29.7564351,,,unified_data,false,false,2019-10-22 00:00:00.000,2019-11-24 00:00:00.000,,,id_218d8e98bc
id_6fcdc43038,2457438,4301,Course of Construction,Closed - No Construction,5254,,Storage Facility,Dry Storage Facility,,project__8ddb1acaae,,,,,,12000.00000,USD,12000.00000,,street_n_714e2b66c4,city_nam_ce5cf16430,state_na_6d41827587,postal_c_a42b95fe39,country__621896e732,-96,30,,http://www.triadrc.com/,platform_app,false,false,2023-06-10 00:00:00.000,2023-07-10 00:00:00.000,,,id_be26cbf5bd
id_9faf6c8568,158495,4301,Bidding,Not Awarded,6900,UNKNOWN,,,,project__1fa34c0c33,,,,,,,,,,,city_nam_4978bdb852,state_na_a006a3a211,,country__621896e732,,,en,,unified_data,false,false,,,,,id_9faf6c8568
